--------------------------LISTA v1 (orden de aparicion)--------------------------
Palabra: peligroso || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: conocia || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: bien || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: pasado || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: anos || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: explorando || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: cada || Repeticiones: 4 || Binary code: No hay binario asignado
Palabra: rincon || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: region || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: conociendo || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: secretos || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: desentranando || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: enigmas || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: medida || Repeticiones: 2 || Binary code: No hay binario asignado
Palabra: avanzaban || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: paisaje || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: cambiaba || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: verdes || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: colinas || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: onduladas || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: dieron || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: paso || Repeticiones: 4 || Binary code: No hay binario asignado
Palabra: bosques || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: densos || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: oscuros || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: arboles || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: altos || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: susurraban || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: historias || Repeticiones: 2 || Binary code: No hay binario asignado
Palabra: viento || Repeticiones: 2 || Binary code: No hay binario asignado
Palabra: durante || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: trayecto || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: cruzo || Repeticiones: 2 || Binary code: No hay binario asignado
Palabra: varios || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: habitantes || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: bosque || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: vio || Repeticiones: 2 || Binary code: No hay binario asignado
Palabra: ciervos || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: pastando || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: tranquilamente || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: ardillas || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: correteando || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: entre || Repeticiones: 2 || Binary code: No hay binario asignado
Palabra: ramas || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: aves || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: colores || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: brillantes || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: cantaban || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: melodias || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: alegres || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: encuentro || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: recordatorio || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: belleza || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: diversidad || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: naturaleza || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: sentia || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: profundo || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: respeto || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: entorno || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: rodeaba || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: siempre || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: procuraba || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: dejar || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: menor || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: rastro || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: posible || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: despues || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: varias || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: horas || Repeticiones: 2 || Binary code: No hay binario asignado
Palabra: viaje || Repeticiones: 2 || Binary code: No hay binario asignado
Palabra: llegaron || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: base || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: desde || Repeticiones: 2 || Binary code: No hay binario asignado
Palabra: alli || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: ascenso || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: volvia || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: mas || Repeticiones: 5 || Binary code: No hay binario asignado
Palabra: empinado || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: desafiante || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: desmonto || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: tras || Repeticiones: 2 || Binary code: No hay binario asignado
Palabra: asegurarlo || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: claro || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: seguro || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: continuo || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: pie || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: rocas || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: penascos || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: dificultaban || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: avance || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: experiencia || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: determinacion || Repeticiones: 2 || Binary code: No hay binario asignado
Palabra: logro || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: superar || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: obstaculo || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: corazon || Repeticiones: 2 || Binary code: No hay binario asignado
Palabra: latia || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: fuerza || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: solo || Repeticiones: 2 || Binary code: No hay binario asignado
Palabra: esfuerzo || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: fisico || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: sino || Repeticiones: 2 || Binary code: No hay binario asignado
Palabra: emocion || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: estar || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: tan || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: cerca || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: objetivo || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: leyenda || Repeticiones: 2 || Binary code: No hay binario asignado
Palabra: decia || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: alto || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: encontraba || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: antiguo || Repeticiones: 2 || Binary code: No hay binario asignado
Palabra: templo || Repeticiones: 7 || Binary code: No hay binario asignado
Palabra: construido || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: civilizacion || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: perdida || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: hace || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: siglos || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: albergaba || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: tesoro || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: invaluable || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: : || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: cristal || Repeticiones: 5 || Binary code: No hay binario asignado
Palabra: segun || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: creia || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: tenia || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: poder || Repeticiones: 2 || Binary code: No hay binario asignado
Palabra: conceder || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: sabiduria || Repeticiones: 2 || Binary code: No hay binario asignado
Palabra: infinita || Repeticiones: 2 || Binary code: No hay binario asignado
Palabra: poseyera || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: oido || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: hablar || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: esta || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: nino || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: aunque || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: muchos || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: consideraban || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: mito || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: estaba || Repeticiones: 4 || Binary code: No hay binario asignado
Palabra: decidido || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: descubrir || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: verdad || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: ascendia || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: vegetacion || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: escasa || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: aire || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: frio || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: nubes || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: parecian || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: alcance || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: mano || Repeticiones: 2 || Binary code: No hay binario asignado
Palabra: soplaba || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: mayor || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: intensidad || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: sin || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: embargo || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: nada || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: esto || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: detenia || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: espiritu || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: impulsaba || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: seguir || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: adelante || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: desafiar || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: limites || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: buscar || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: respuestas || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: alla || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: conocido || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: finalmente || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: ardua || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: escalada || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: llego || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: cima || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: ante || Repeticiones: 2 || Binary code: No hay binario asignado
Palabra: ojos || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: extendia || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: vasto || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: valle || Repeticiones: 2 || Binary code: No hay binario asignado
Palabra: oculto || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: centro || Repeticiones: 2 || Binary code: No hay binario asignado
Palabra: envuelto || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: aura || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: mistica || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: alzaba || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: construccion || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: hecha || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: piedra || Repeticiones: 2 || Binary code: No hay binario asignado
Palabra: cubierta || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: musgo || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: parecia || Repeticiones: 2 || Binary code: No hay binario asignado
Palabra: resistir || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: tiempo || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: dignidad || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: sintio || Repeticiones: 2 || Binary code: No hay binario asignado
Palabra: mezcla || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: asombro || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: reverencia || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: contemplar || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: sabia || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: punto || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: entrar || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: sitio || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: sagrado || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: cargado || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: historia || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: misterio || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: firme || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: entrada || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: grandes || Repeticiones: 2 || Binary code: No hay binario asignado
Palabra: puertas || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: madera || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: tallada || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: estaban || Repeticiones: 2 || Binary code: No hay binario asignado
Palabra: entreabiertas || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: como || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: invitandolo || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: pasar || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: respiro || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: hondo || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: umbral || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: interior || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: penumbra || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: iluminado || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: rayos || Repeticiones: 1 || Binary code: No hay binario asignado
