--------------------LISTA v3 (Repeticiones)-------------------
Cantidad de Comparaciones SelDir: 136503
Palabra: emanaba || Repeticiones: 1 || Binary code: 0011000100
Palabra: energia || Repeticiones: 1 || Binary code: 0011000101
Palabra: sintiendo || Repeticiones: 1 || Binary code: 0011000110
Palabra: lentamente || Repeticiones: 1 || Binary code: 0011000111
Palabra: acerco || Repeticiones: 1 || Binary code: 0011001000
Palabra: constante || Repeticiones: 1 || Binary code: 0011001001
Palabra: brillando || Repeticiones: 1 || Binary code: 0011001010
Palabra: imaginado || Repeticiones: 1 || Binary code: 0011001011
Palabra: hermoso || Repeticiones: 1 || Binary code: 0011001100
Palabra: descansaba || Repeticiones: 1 || Binary code: 0011001101
Palabra: pedestal || Repeticiones: 1 || Binary code: 0011001110
Palabra: principal || Repeticiones: 1 || Binary code: 0011001111
Palabra: sala || Repeticiones: 1 || Binary code: 0011010000
Palabra: rituales || Repeticiones: 1 || Binary code: 0011010001
Palabra: ceremonias || Repeticiones: 1 || Binary code: 0011010010
Palabra: epicas || Repeticiones: 1 || Binary code: 0011010011
Palabra: batallas || Repeticiones: 1 || Binary code: 0011010100
Palabra: antiguas || Repeticiones: 1 || Binary code: 0011010101
Palabra: narraban || Repeticiones: 1 || Binary code: 0011010110
Palabra: grabados || Repeticiones: 1 || Binary code: 0011010111
Palabra: inscripciones || Repeticiones: 1 || Binary code: 0011011000
Palabra: cubiertas || Repeticiones: 1 || Binary code: 0011011001
Palabra: alrededor || Repeticiones: 1 || Binary code: 0011011010
Palabra: detalle || Repeticiones: 1 || Binary code: 0011011011
Palabra: observando || Repeticiones: 1 || Binary code: 0011011100
Palabra: cautela || Repeticiones: 1 || Binary code: 0011011101
Palabra: avanzo || Repeticiones: 1 || Binary code: 0011011110
Palabra: epoca || Repeticiones: 1 || Binary code: 0011011111
Palabra: otra || Repeticiones: 1 || Binary code: 0011100000
Palabra: venir || Repeticiones: 1 || Binary code: 0011100001
Palabra: impregnado || Repeticiones: 1 || Binary code: 0011100010
Palabra: tranquilo || Repeticiones: 1 || Binary code: 0011100011
Palabra: fresco || Repeticiones: 1 || Binary code: 0011100100
Palabra: ambiente || Repeticiones: 1 || Binary code: 0011100101
Palabra: grietas || Repeticiones: 1 || Binary code: 0011100110
